row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,svc_code,svc_code_type,svc_code_desc,svc_code_ctg,svc_code_ctg_desc,,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
9787812,2016,1,Aitkin,COMMERCIAL,3,45 - 64 years,F,13,90732,CPT/HCPCS,PPSV23 VACC 2 YRS+ SUBQ/IM,228,Prophylactic vaccinations and inoculations,13,141,"$1,105.65 ",$85.05 ,$79.41 ,"$1,105.65 ",$85.05 ,$79.41 ,$0.00 ,$0.00 ,$0.00 
9793692,2016,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,12,82746,CPT/HCPCS,ASSAY OF FOLIC ACID SERUM,233,Laboratory - Chemistry and hematology,13,138,$479.70 ,$39.97 ,$25.66 ,$479.70 ,$39.97 ,$25.66 ,$0.00 ,$0.00 ,$0.00 
9795828,2016,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,23,420,REV,Physical Therapy,50020,"Physical, occupational, and speech therapy",36,263,"$10,058.21 ",$437.31 ,$229.85 ,"$10,046.41 ",$436.80 ,$229.85 ,$11.80 ,$0.51 ,$0.00 
9798900,2016,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,110,V2020,CPT/HCPCS,FRAMES PURCHASES,241,Visual aids and other optical supplies,118,"1,274","$3,420.16 ",$31.09 ,$30.67 ,"$2,970.16 ",$27.00 ,$29.95 ,$450.00 ,$4.09 ,$0.00 
9804732,2016,1,Aitkin,MEDICARE,4,65 - 74 years,F,88,1036F,CPT/HCPCS,TOBACCO NON-USER,998,CPT codes not classified (F codes),121,"1,056",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
9808164,2016,1,Aitkin,MEDICARE,4,65 - 74 years,M,718,99213,CPT/HCPCS,OFFICE O/P EST LOW 20-29 MIN,300,Office/outpatient services - Office visits,"2,203","8,555","$158,879.65 ",$221.28 ,$165.66 ,"$136,194.34 ",$189.68 ,$138.91 ,"$22,685.31 ",$31.59 ,$20.00 
9811692,2016,1,Aitkin,MEDICARE,5,75 years and older,M,58,73030,CPT/HCPCS,X-RAY EXAM OF SHOULDER,226,Radiology - Diagnostic (other),143,696,"$12,522.77 ",$215.90 ,$119.15 ,"$8,468.49 ",$146.00 ,$74.23 ,"$4,054.28 ",$69.90 ,$7.52 
9814284,2016,3,Anoka,COMMERCIAL,1,18 years and under,F,29,85246,CPT/HCPCS,CLOT FACTOR VIII VW ANTIGEN,233,Laboratory - Chemistry and hematology,33,338,"$1,157.58 ",$39.91 ,$39.78 ,$894.48 ,$30.84 ,$38.30 ,$263.10 ,$9.07 ,$0.00 
9817188,2016,3,Anoka,COMMERCIAL,1,18 years and under,M,58,92557,CPT/HCPCS,COMPREHENSIVE HEARING TEST,220,Ophthalmologic/otologic diagnosis and treatment,62,662,"$4,569.59 ",$78.78 ,$78.70 ,"$2,544.90 ",$43.87 ,$7.62 ,"$2,024.69 ",$34.90 ,$0.00 
9819420,2016,3,Anoka,COMMERCIAL,2,19 - 44 years,F,11,67800,CPT/HCPCS,REMOVE EYELID LESION,19,Eye procedures - Therapeutic (other),12,114,"$3,327.74 ",$302.52 ,$310.47 ,"$1,715.86 ",$155.98 ,$202.15 ,"$1,611.88 ",$146.53 ,$51.55 
9820572,2016,3,Anoka,COMMERCIAL,2,19 - 44 years,F,28,89240,CPT/HCPCS,PATHOLOGY LAB PROCEDURE,234,Pathology,47,296,"$11,387.97 ",$406.71 ,$145.41 ,"$9,921.73 ",$354.34 ,$113.00 ,"$1,466.24 ",$52.36 ,$0.00 
